tau,loss,base_rate,n_onset,pemdt_ff,pemdt_marg,diff,lo95,hi95
10.0,0.0,0.16012403658180346,7126,0.7194417973486481,0.7194417973486481,0.0,0.0,0.0
15.0,0.0,0.0698639230003319,3368,0.793931411712481,0.793931411712481,0.0,0.0,0.0
25.0,0.0,0.023057062226047274,1152,0.8674871606525396,0.8674871606525396,0.0,0.0,0.0
35.0,0.0,0.01051083868147589,529,0.8773406670158896,0.8773406670158896,0.0,0.0,0.0
10.0,0.3,0.16012403658180346,7126,0.6918253251523825,0.6893403215010385,-0.0024850036513439644,-0.005614763771772779,0.0006456996812371281
15.0,0.3,0.0698639230003319,3368,0.7568843483613418,0.7637713652236191,0.006887016862277329,0.003113654671492408,0.010676100623873787
25.0,0.3,0.023057062226047274,1152,0.8314856275281756,0.8464409882278358,0.014955360699660192,0.009064838335986009,0.020786610525313828
35.0,0.3,0.01051083868147589,529,0.8518424928447248,0.8615256489094374,0.009683156064712595,0.003358469234413547,0.01653133435624458
10.0,0.7,0.16012403658180346,7126,0.6401790500777812,0.6619675356762472,0.021788485598466023,0.01723730686909553,0.026854265181403304
15.0,0.7,0.0698639230003319,3368,0.6973447885964559,0.7305721544112506,0.033227365814794685,0.026875843694851565,0.039802262097002834
25.0,0.7,0.023057062226047274,1152,0.7621489897825854,0.8194567954428533,0.05730780566026794,0.04802044977125996,0.06661908616604353
35.0,0.7,0.01051083868147589,529,0.7921923611269274,0.8403166351606806,0.04812427403375319,0.03583624281954354,0.06102141530025576
10.0,0.85,0.16012403658180346,7126,0.5989738549383694,0.6418274073867327,0.04285355244836331,0.03717342801527562,0.048471770774754445
15.0,0.85,0.0698639230003319,3368,0.6655450509173816,0.7170726154063749,0.051527564488993316,0.04458458949142167,0.058392940157268994
25.0,0.85,0.023057062226047274,1152,0.7374976951916576,0.8084345652818468,0.07093687009018912,0.06090101150298387,0.08151656023387994
35.0,0.85,0.01051083868147589,529,0.7601636413328171,0.8319120907068729,0.07174844937405578,0.05611192303451587,0.08677726882707443
