param,value,auroc
wpm,0.6,0.7750791875997212
wpm,0.8,0.7864710247149538
wpm,1.0,0.793931411712481
wpm,1.2,0.7986924411631963
wpm,1.5,0.802836927709184
ww,0.0,0.8124189583549639
ww,0.25,0.8048285167001807
ww,0.5,0.793931411712481
ww,0.75,0.7813325977187826
ww,1.0,0.7685112585577435
wb,0.0,0.8004229474658908
wb,0.25,0.7981482523768861
wb,0.5,0.793931411712481
wb,0.75,0.7884303798038315
wb,1.0,0.7826073200887399
wt,0.0,0.7714786580843792
wt,0.2,0.7870162001182351
wt,0.4,0.793931411712481
wt,0.6,0.7950633725931843
wt,0.8,0.7923699413697899
