dropout,model,diff,lo95,hi95,verdict
0.0,monitor,-0.021747699430696592,-0.027292156820298667,-0.016190379676458228,WORSE than GBM
0.0,gate,0.0,0.0,0.0,parity (spans zero)
0.0,hybrid,-0.003212409205448931,-0.005078793059389908,-0.0013005344331740863,WORSE than GBM
0.4,monitor,-0.02618956836385422,-0.03338910044971393,-0.019508097116839526,WORSE than GBM
0.4,gate,-0.010153283805910818,-0.014657240674822294,-0.005643904519604526,WORSE than GBM
0.4,hybrid,-0.004302779279427049,-0.007595805432928945,-0.0010355980502998296,WORSE than GBM
0.7,monitor,-0.034086772122320766,-0.042350703253891966,-0.02622294958069325,WORSE than GBM
0.7,gate,-0.023544449374025337,-0.03051840389373909,-0.01652508218449824,WORSE than GBM
0.7,hybrid,-0.0014723071290715772,-0.005661568470562106,0.002581666427384218,parity (spans zero)
0.85,monitor,-0.030442692700841704,-0.0393812722398174,-0.02158976436333993,WORSE than GBM
0.85,gate,-0.025975229005049925,-0.034527169676629964,-0.017504966019903374,WORSE than GBM
0.85,hybrid,0.005474560234516156,0.001221899447599209,0.009757144791843054,better than GBM
